Lugones,Leopoldo,Un fenomeno inexplicable,cuento,./libros/cuentos/leopoldo_lugones_un_fenomeno_inexplicable.rtf,
Lugones,Leopoldo,Los caballos de Abdera,cuento,./libros/cuentos/leopoldo_lugones_los_caballos_de_abdera.rtf,
Lugones,Leopoldo,La lluvia de fuego,cuento,./libros/cuentos/leopoldo_lugones_la_lluvia_de_fuego.rtf,
Lugones,Leopoldo,La estatua de sal,cuento,./libros/cuentos/leopoldo_lugones_la_estatua_de_sal.rtf,
Echeverria,Esteban,El Matadero,cuento,./libros/cuentos/esteban_echeverria_el_matadero.rtf,
Arlt,Roberto,Los cazadores de marfil,cuento,./libros/cuentos/roberto arlt los cazadores de marfil.rtf,
Arlt,Roberto,El gato cocido,cuento,./libros/cuentos/roberto_arlt_el_gato_cocido.rtf,
Arlt,Roberto,El cazador de orquideas,cuento,./libros/cuentos/roberto_arlt_el_cazador_de_orquideas.rtf,
Arlt,Roberto,El jorobadito,cuento,./libros/cuentos/roberto_arlt_el_jorobadito.rtf,
Güiraldes,Ricardo,Trenzador,cuento,./libros/cuentos/ricardo_guiraldes_trenzador.rtf,
Güiraldes,Ricardo,El pozo,cuento,./libros/cuentos/ricardo_guiraldes_el_pozo.rtf,
Quiroga,Horacio,El almohadon de plumas,cuento,./libros/cuentos/horacio_quiroga_el_almohadon_de_plumas.rtf,
Quiroga,Horacio,El hijo,cuento,./libros/cuentos/horacio_quiroga_el_hijo.rtf,
Quiroga,Horacio,A la deriva,cuento,./libros/cuentos/horacio_quiroga_a_la_deriva.rtf,
Quiroga,Horacio,La gallina degollada,cuento,./libros/cuentos/horacio_quiroga_la_gallina_degollada.rtf,
Payró,Roberto,Reportaje endiablado,cuento,./libros/cuentos/roberto_payro_reportaje_endiablado.rtf,
Confucio,,Los cuatro libros clsicos,libro,./libros/literatura_extranjera/confucio_-_los_cuatro_libros_clsicos.epub,
Tolstoi,León,La guerra y la paz.,libro,./libros/literatura_extranjera/len_tolstoi_-_la_guerra_y_la_paz.epub,
Flaubert,Gustave,Madame Bovary,libro,./libros/literatura_extranjera/gustave_flaubert_-_madame_bovary.epub,
Goethe,Johann Wolfang von,Fausto,libro,./libros/literatura_extranjera/johann_wolfang_von_goethe_-_fausto.epub,
Shakespeare,William,Hamlet,libro,./libros/literatura_extranjera/william_shakespeare_-_hamlet.epub,
Zola,Emile,Germinal,libro,./libros/literatura_extranjera/emile_zola_-_germinal.epub,
Shakespeare,William,La tempestad,libro,./libros/literatura_extranjera/william_shakespeare_-_la_tempestad.epub,
Dumas,Alejandro,El Conde de Montecristo,libro,./libros/literatura_extranjera/alejandro_dumas_-_el_conde_de_montecristo.epub,
Esopo,,Las fábulas de Esposo,libro,./libros/literatura_extranjera/esopo_-_las_fbulas_de_esopo.epub,
Wilde,Oscar,La importancia de llamarse Ernesto,libro,./libros/literatura_extranjera/oscar_wilde_-_la_importancia_de_llamarse_ernesto.epub,
Varios,,Argentina Copyleft,libro,./libros/otros_contenidos/argentina_copyleft.pdf,
Varios,,Copia este libro,libro,./libros/otros_contenidos/copiaestelibro.pdf,
Varios,,Constitución Nacional,libro,./libros/otros_contenidos/constitucion_nacional.pdf,
Varios,,Copyleft Manual de uso,libro,./libros/otros_contenidos/copyleft_manual_de_uso.pdf,
Varios,,Constitución Provincial,libro,./libros/otros_contenidos/constitucionprovincial.pdf,
Angelini y Zangara,,"Perseguidores de lluvia en tiempos de sequía universal: jóvenes, futuro y utopías",libro,./libros/otros_contenidos/angelini_zangara_3.pdf,
Ríos,Daniel Ramón,Diccionario de Escritores de la Provincia de Buenos Aires,libro,./libros/producciones_propias/interior_dicionario_ii.pdf,
Cichetto,Carolina,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/carolina_cichetto.pdf,
Dominguez,Angela,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/angela__dominguez.pdf,
Franchini,Gaston,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/gaston_franchini.pdf,
Frasinetti,Jose Luis,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/jose_luis_frasinetti.pdf,
Chantada,Gabriela Rodriguez,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/gabriela_rodriguez_chantada.pdf,
Del Zotto,Guillermo,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/guillermo_del_zotto.pdf,
Grillo,Rogelio,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/rogelio_grillo.pdf,
Martinez Persico,Marisa,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/marisamartinezpersico.pdf,
Vazquez,Cristian,Poesía Arte Joven,libro,./libros/producciones_propias/poesia_arte_joven/cristian_vazquez.pdf,
