Lugones,Leopoldo,Un fenomeno inexplicable,cuento,./pdf/cuentos/leopoldo_lugones_un_fenomeno_inexplicable.pdf,
Lugones,Leopoldo,Los caballos de Abdera,cuento,./pdf/cuentos/leopoldo_lugones_los_caballos_de_abdera.pdf,
Lugones,Leopoldo,La lluvia de fuego,cuento,./pdf/cuentos/leopoldo_lugones_la_lluvia_de_fuego.pdf,
Lugones,Leopoldo,La estatua de sal,cuento,./pdf/cuentos/leopoldo_lugones_la_estatua_de_sal.pdf,
Echeverria,Esteban,El Matadero,cuento,./pdf/cuentos/esteban_echeverria_el_matadero.pdf,
Arlt,Roberto,Los cazadores de marfil,cuento,./pdf/cuentos/roberto_arlt_los_cazadores_de_marfil.pdf,
Arlt,Roberto,El gato cocido,cuento,./pdf/cuentos/roberto_arlt_el_gato_cocido.pdf,
Arlt,Roberto,El cazador de orquideas,cuento,./pdf/cuentos/roberto_arlt_el_cazador_de_orquideas.pdf,
Arlt,Roberto,El jorobadito,cuento,./pdf/cuentos/roberto_arlt_el_jorobadito.pdf,
Güiraldes,Ricardo,Trenzador,cuento,./pdf/cuentos/ricardo_guiraldes_trenzador.pdf,
Güiraldes,Ricardo,El pozo,cuento,./pdf/cuentos/ricardo_guiraldes_el_pozo.pdf,
Quiroga,Horacio,El almohadon de plumas,cuento,./pdf/cuentos/horacio_quiroga_el_almohadon_de_plumas.pdf,
Quiroga,Horacio,El hijo,cuento,./pdf/cuentos/horacio_quiroga_el_hijo.pdf,
Quiroga,Horacio,A la deriva,cuento,./pdf/cuentos/horacio_quiroga_a_la_deriva.pdf,
Quiroga,Horacio,La gallina degollada,cuento,./pdf/cuentos/horacio_quiroga_la_gallina_degollada.pdf,
Payró,Roberto,Reportaje endiablado,cuento,./pdf/cuentos/roberto_payro_reportaje_endiablado.pdf,
Confucio,,Los cuatro libros clsicos,libro,./pdf/literatura_extranjera/confucio_-_los_cuatro_libros_clsicos.epub,
Tolstoi,León,La guerra y la paz.,libro,./pdf/literatura_extranjera/len_tolstoi_-_la_guerra_y_la_paz.epub,
Flaubert,Gustave,Madame Bovary,libro,./pdf/literatura_extranjera/gustave_flaubert_-_madame_bovary.epub,
Goethe,Johann Wolfang von,Fausto,libro,./pdf/literatura_extranjera/johann_wolfang_von_goethe_-_fausto.epub,
Shakespeare,William,Hamlet,libro,./pdf/literatura_extranjera/william_shakespeare_-_hamlet.epub,
Zola,Emile,Germinal,libro,./pdf/literatura_extranjera/emile_zola_-_germinal.epub,
Shakespeare,William,La tempestad,libro,./pdf/literatura_extranjera/william_shakespeare_-_la_tempestad.epub,
Dumas,Alejandro,El Conde de Montecristo,libro,./pdf/literatura_extranjera/alejandro_dumas_-_el_conde_de_montecristo.epub,
Esopo,,Las fábulas de Esposo,libro,./pdf/literatura_extranjera/esopo_-_las_fbulas_de_esopo.epub,
Wilde,Oscar,La importancia de llamarse Ernesto,libro,./pdf/literatura_extranjera/oscar_wilde_-_la_importancia_de_llamarse_ernesto.epub,
Varios,,Argentina Copyleft,libro,./pdf/otros_contenidos/argentina_copyleft.pdf,
Varios,,Copia este libro,libro,./pdf/otros_contenidos/copiaestelibro.pdf,
Varios,,Constitución Nacional,libro,./pdf/otros_contenidos/constitucion_nacional.pdf,
Varios,,Copyleft Manual de uso,libro,./pdf/otros_contenidos/copyleft_manual_de_uso.pdf,
Varios,,Constitución Provincial,libro,./pdf/otros_contenidos/constitucionprovincial.pdf,
Angelini y Zangara,,"Perseguidores de lluvia en tiempos de sequía universal: jóvenes, futuro y utopías",libro,./pdf/otros_contenidos/angelini_zangara_3.pdf,
Ríos,Daniel Ramón,Diccionario de Escritores de la Provincia de Buenos Aires,libro,./pdf/producciones_propias/interior_dicionario_ii.pdf,
Cichetto,Carolina,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/carolina_cichetto.pdf,
Dominguez,Angela,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/angela__dominguez.pdf,
Franchini,Gaston,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/gaston_franchini.pdf,
Frasinetti,Jose Luis,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/jose_luis_frasinetti.pdf,
Chantada,Gabriela Rodriguez,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/gabriela_rodriguez_chantada.pdf,
Del Zotto,Guillermo,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/guillermo_del_zotto.pdf,
Grillo,Rogelio,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/rogelio_grillo.pdf,
Martinez Persico,Marisa,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/marisamartinezpersico.pdf,
Vazquez,Cristian,Poesía Arte Joven,libro,./pdf/producciones_propias/poesia_arte_joven/cristian_vazquez.pdf,
Barrios,Ariel,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/ariel_barrios.pdf,
Piechocki,Gregorio,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/gregorio_piechocki.pdf,
Sotelo,Mariela,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/mariela_sotelo.pdf,
Lo Feudo,Marcia,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/marcia_lo_feudo.pdf,
Sciorra,Ximena,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/ximena_sciorra.pdf,
Almiron,Mariela,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/mariela_almiron.pdf,
Vazquez,Cristian,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/cristian_vazquez.pdf,
Alvarez,Florencia,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/florencia_alvarez.doc,
Dibene,Daniel,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/daniel_dibene.pdf,
Notararigo,Gerardo,Cuentos Arte Joven,cuento,./pdf/producciones_propias/cuentos_arte_joven/gerardo_notararigo.pdf,
Schierloh,Eric,El Epílogo de Kilgore,libro,./pdf/producciones_propias/concursos_literarios_2006/textos_conti/el_epilogo_de_kilgore.pdf,
Farace,Ariel,DIN,libro,./pdf/producciones_propias/concursos_literarios_2006/textos_teatro/din.pdf,
Mallach,Nelson,Las cautivas,libro,./pdf/producciones_propias/concursos_literarios_2006/textos_teatro/las_cautivas..pdf,
Aramburú,Roxana,Corpus,libro,./pdf/producciones_propias/concursos_literarios_2006/textos_teatro/corpus.pdf,
La Biblioteca,,Número 4,revista,./pdf/producciones_propias/la_biblioteca/revista_la_biblioteca_4.pdf,
La Biblioteca,,Número 2,revista,./pdf/producciones_propias/la_biblioteca/revista_la_biblioteca_2.pdf,
La Biblioteca,,Número 1,revista,./pdf/producciones_propias/la_biblioteca/revista_la_biblioteca_1.pdf,
La Biblioteca,,Número 3,revista,./pdf/producciones_propias/la_biblioteca/revista_la_biblioteca_3.pdf,
La Biblioteca,,Número 5,revista,./pdf/producciones_propias/la_biblioteca/revista_la_biblioteca_5.pdf,
Observatorio Social de América Latina,,Noviembre de 2012,revista,./pdf/revistas/osal32.pdf,
UNLP,Facultad de Periodismo y Comunicación Social ,Oficios Terrestres 28,revista,./pdf/revistas/oficiosterrestres_28.pdf,
Tuxinfo,,Número 56,revista,./pdf/revistas/tuxinfo56.pdf,
Tuxinfo,,Número 54,revista,./pdf/revistas/tuxinfo-54.epub,
Tuxinfo,,Número 69,revista,./pdf/revistas/trampas_69.pdf,
Tuxinfo,,Número 55,revista,./pdf/revistas/tuxinfo-55.epub,
Tuxinfo,,Número 54,revista,./pdf/revistas/tuxinfo_54.pdf,
Arlt,Roberto,Aguafuertes,libro,./pdf/biblioteca_clasicos/roberto_arlt/roberto_arlt_aguafuertes.pdf,
